"id","name","description","region","status","currency","expected_price","wish_count","image_urls","created_at","updated_at","category_id","additional_info","user_id"
"4c8a87ec-dabe-458a-bb2a-91881f82822a","我的電腦","ASUS電腦最強ASUS以卵擊石","台灣","pending","TWD","66442","4","","2025-08-17T16:03:47.903Z","2025-08-17T16:03:47.903Z","1","她好厲害",""
"4a00e3f0-6fd9-48fa-ae5b-c0cafb79cae9","皮卡丘","皮卡丘很可愛皮卡丘很可愛皮卡丘很可愛","台灣","pending","TWD","14177","77","2025-08-17T16-17-19-512Z_s46kq6.png","2025-08-17T16:17:19.516Z","2025-08-17T16:17:19.516Z","5","不要版權泡我",""
"bd51d20d-5fca-4cc0-98fb-0cfc55e49279","比卡抄","比卡抄比卡抄比卡抄比卡抄","台灣","completed","TWD","21301","12","2025-08-17T16-25-22-395Z_8o7oxc.png","2025-08-17T16:25:22.421Z","2025-08-17T16:25:22.421Z","5","比卡抄比卡抄比卡抄",""
"2c5df065-b16f-410c-8de4-660f2ddb4e45","居家生活","居家生活居家生活居家生活居家生活","居家生活居家生活","completed","TWD","22714","1","","2025-08-17T16:25:53.282Z","2025-08-17T16:25:53.282Z","5","居家生活居家生活",""
"b07cddf1-e120-4583-8664-ec265bf08b0b","Mac Air Book M5","Mac Air Book M5Mac Air Book M5Mac Air Book M5Mac Air Book M5","美國","completed","TWD","40962","13","","2025-08-20T07:55:22.203Z","2025-08-20T07:55:22.203Z","1","",""
"2e8694e4-d981-426a-89e4-def6e1b3a796","iPhone 15 Pro Max","想購買最新款 iPhone，希望能找到好價格。需要 256GB 以上容量，顏色不限。","美國","completed","TWD","25860","20","","2025-08-20T08:22:27.256Z","2025-08-20T08:22:27.256Z","1","希望是全新未拆封，需要提供購買證明",""
"8526ad1b-d73b-4e5e-abd4-ddfae626e1e8","Sony A7 IV 相機","專業攝影需求，希望找到好價格。需要單機身或含基本鏡頭套組。","日本","completed","TWD","33436","3","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","1","最好能附贈相機包和記憶卡",""
"fbd5d4dd-a0b7-4669-bab1-f4090a948404","Dyson V15 吸塵器","家用清潔需求，希望團購。需要完整配件組，包含各種吸頭。","英國","completed","TWD","7800","2","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","5","希望有中文說明書，保固至少一年",""
"b0fd7273-b1da-40ea-97c5-0ce93a8b13b2","Nintendo Switch OLED","想要購買遊戲主機，最好能附贈一些熱門遊戲。","日本","pending","TWD","1255","4","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","8","希望是日版或台版，需要保護貼和收納包",""
"4fc4eed5-35b1-4808-9d54-fc83fe69c385","Herman Miller Aeron 人體工學椅","長時間辦公需要好的椅子，希望是正品，size B 或 C。","美國","completed","TWD","15649","78","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","5","需要完整保固，最好是近期生產",""
"d2f3fb1a-9b92-433f-86fb-16761b029e44","iPad Pro 12.9吋","繪圖和筆記使用，需要搭配 Apple Pencil。希望是 M2 晶片版本。","美國","completed","TWD","71267","1","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","1","需要 WiFi + Cellular 版本，256GB 以上",""
"c2c41e52-8182-47c1-8ada-2174eac04b6f","Vitamix 調理機","健康飲食必備，希望是最新款 A3500 或 A2500 型號。","美國","pending","TWD","29664","5","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","5","需要中文食譜，110V 電壓",""
"b30cbfbc-fa48-4e12-9329-c3155f3e3b53","Bose QC45 降噪耳機","需要高品質降噪耳機，用於通勤和工作。","美國","completed","TWD","49697","3","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","1","黑色優先，需要原廠收納盒",""
"0bce1a52-dfbc-45bd-a06c-528a7571d4eb","LG OLED 65吋電視","家庭娛樂升級，希望是 C3 或 G3 系列。","韓國","pending","TWD","12893","11","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","5","需要支援台灣數位電視規格",""
"38bf4133-1fdb-4d39-aa8b-c7739cb13105","Patagonia 戶外背包","登山健行使用，需要 40-50L 容量。","美國","completed","TWD","3536","1","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","6","防水材質，顏色不限",""
"79c4f325-8a03-4712-8b6b-a8ffef1c5d2e","SK-II 神仙水","保養品團購，希望是 230ml 大瓶裝。","日本","completed","TWD","3886","2","","2025-08-20T08:22:27.259Z","2025-08-20T08:22:27.259Z","3","需要最新批號，確保是正品",""
"adcc9205-48c9-4a37-8674-8c36f21581a4","Lego 創意系列積木","收藏用，希望是限量版或絕版品。","丹麥","pending","TWD","2483","2","","2025-08-20T08:22:27.259Z","2025-08-20T08:22:27.259Z","8","全新未拆封，需要原廠封條",""
"7f38307e-a2b4-4dbf-b7ac-d9af9d64a3ff","Montblanc 萬寶龍鋼筆","商務禮品需求，希望是經典款 Meisterstück 系列。","德國","completed","TWD","6395","2","","2025-08-20T08:22:27.259Z","2025-08-20T08:22:27.259Z","7","需要禮盒包裝和保證書",""
"a66ca18f-c18f-4b72-82fd-311bb0d67c19","日本薯條三兄弟","北海道限定零食，想要團購一箱。","日本","completed","TWD","1154","1","","2025-08-20T08:22:27.259Z","2025-08-20T08:22:27.259Z","4","需要最新製造日期，常溫配送",""
"371f3d35-2a6e-410b-9b52-41bdcb5d2b5f","Nike Air Jordan 1 復古鞋","收藏用，希望是 Chicago 配色或其他經典配色。","美國","pending","TWD","5964","1","","2025-08-20T08:22:27.259Z","2025-08-20T08:22:27.259Z","2","US 10.5 尺寸，需要鞋盒完整",""
"6aeae9ca-b959-4f95-ba4b-6474623abfc0","悅氏礦泉水","我好渴我需要一瓶水995","台灣","pending","TWD","20","1","","2025-08-20T13:31:23.709Z","2025-08-20T13:31:23.709Z","2","",""
"432d7114-dcd5-4568-9604-bfa9fecd16a6","Google Pixel 9 Pro","便宜收收你不要的二手貨","台灣","pending","TWD","1500","1","","2025-08-20T13:51:10.613Z","2025-08-20T13:51:10.613Z","3","",""
"674be9ec-9226-4c82-8006-a55dfa2e29d2","妙蛙種子","16等進化成妙蛙草32等進化成妙蛙花","JAPEN","pending","TWD","2000","1","2025-08-20T13-53-38-255Z_3pzl3.png","2025-08-20T13:53:38.260Z","2025-08-20T13:53:38.260Z","2","",""
"ebb8513d-3dbb-4285-8b9c-9731c69b3865","拜託啦給我成功拉","拜託啦給我成功拉拜託啦給我成功拉拜託啦給我成功拉","杜拜","pending","TWD","1069","1","","2025-08-20T17:26:40.266Z","2025-08-20T17:26:40.266Z","3","",""
"be0864c6-0bd9-4dee-8092-ae7d867c6e43","13","weweffdgfggghhh","qe","pending","TWD","13","1","","2025-08-22T05:50:29.122Z","2025-08-22T05:50:29.122Z","4","",""
